Total waiting time : 0, Average Waiting Time: 0.0, Finished P.: 0, total respond time: 0, Average response time: 0.0, Max length readylist: 0
Total waiting time : 1, Average Waiting Time: 1.0, Finished P.: 0, total respond time: 0, Average response time: 0.0, Max length readylist: 1
Total waiting time : 1, Average Waiting Time: 1.0, Finished P.: 0, total respond time: 0, Average response time: 0.0, Max length readylist: 1
Total waiting time : 3, Average Waiting Time: 1.5, Finished P.: 0, total respond time: 0, Average response time: 0.0, Max length readylist: 1
Total waiting time : 5, Average Waiting Time: 2.5, Finished P.: 0, total respond time: 0, Average response time: 0.0, Max length readylist: 1
Total waiting time : 7, Average Waiting Time: 3.5, Finished P.: 0, total respond time: 0, Average response time: 0.0, Max length readylist: 1
Total waiting time : 9, Average Waiting Time: 4.5, Finished P.: 0, total respond time: 0, Average response time: 0.0, Max length readylist: 1
Total waiting time : 11, Average Waiting Time: 5.5, Finished P.: 1, total respond time: 6, Average response time: 6.0, Max length readylist: 1
Total waiting time : 12, Average Waiting Time: 6.0, Finished P.: 1, total respond time: 6, Average response time: 6.0, Max length readylist: 1
Total waiting time : 12, Average Waiting Time: 6.0, Finished P.: 1, total respond time: 6, Average response time: 6.0, Max length readylist: 1
Total waiting time : 12, Average Waiting Time: 6.0, Finished P.: 1, total respond time: 6, Average response time: 6.0, Max length readylist: 1
Total waiting time : 12, Average Waiting Time: 6.0, Finished P.: 1, total respond time: 6, Average response time: 6.0, Max length readylist: 1
Total waiting time : 12, Average Waiting Time: 6.0, Finished P.: 1, total respond time: 6, Average response time: 6.0, Max length readylist: 1
Total waiting time : 14, Average Waiting Time: 4.6666665, Finished P.: 1, total respond time: 6, Average response time: 6.0, Max length readylist: 1
Total waiting time : 22, Average Waiting Time: 3.6666667, Finished P.: 2, total respond time: 17, Average response time: 8.5, Max length readylist: 4
Total waiting time : 29, Average Waiting Time: 4.8333335, Finished P.: 2, total respond time: 17, Average response time: 8.5, Max length readylist: 4
Total waiting time : 35, Average Waiting Time: 5.8333335, Finished P.: 2, total respond time: 17, Average response time: 8.5, Max length readylist: 4
Total waiting time : 41, Average Waiting Time: 6.8333335, Finished P.: 2, total respond time: 17, Average response time: 8.5, Max length readylist: 4
