Time: 10/02/2014 00:07:06
Tick:34,  Total waiting time : 66,    Total # of processes: 12,  ASPAverage Waiting Time: 1.2857142857142858,  Finished P.: 7,    total respond time: 75,   Average response time: 10.714286,   Max length readylist: 5
Tick:35,  Total waiting time : 72,    Total # of processes: 14,  ASPAverage Waiting Time: 1.2857142857142858,  Finished P.: 7,    total respond time: 75,   Average response time: 10.714286,   Max length readylist: 6
Tick:36,  Total waiting time : 78,    Total # of processes: 14,  ASPAverage Waiting Time: 1.125,               Finished P.: 8,    total respond time: 82,   Average response time: 10.25,       Max length readylist: 6
Tick:37,  Total waiting time : 81,    Total # of processes: 14,  ASPAverage Waiting Time: 1.125,               Finished P.: 8,    total respond time: 82,   Average response time: 10.25,       Max length readylist: 6
Tick:38,  Total waiting time : 85,    Total # of processes: 14,  ASPAverage Waiting Time: 1.2222222222222223,  Finished P.: 9,    total respond time: 126,  Average response time: 14.0,        Max length readylist: 6
Tick:39,  Total waiting time : 56,    Total # of processes: 15,  ASPAverage Waiting Time: 1.2222222222222223,  Finished P.: 9,    total respond time: 126,  Average response time: 14.0,        Max length readylist: 6
Tick:40,  Total waiting time : 95,    Total # of processes: 15,  ASPAverage Waiting Time: 1.2222222222222223,  Finished P.: 9,    total respond time: 126,  Average response time: 14.0,        Max length readylist: 6
Tick:41,  Total waiting time : 100,   Total # of processes: 15,  ASPAverage Waiting Time: 1.2222222222222223,  Finished P.: 9,    total respond time: 126,  Average response time: 14.0,        Max length readylist: 6
Tick:42,  Total waiting time : 106,   Total # of processes: 16,  ASPAverage Waiting Time: 1.2222222222222223,  Finished P.: 9,    total respond time: 126,  Average response time: 14.0,        Max length readylist: 6
Tick:43,  Total waiting time : 111,   Total # of processes: 16,  ASPAverage Waiting Time: 1.1,                 Finished P.: 10,   total respond time: 171,  Average response time: 17.1,        Max length readylist: 6
Tick:44,  Total waiting time : 79,    Total # of processes: 17,  ASPAverage Waiting Time: 1.1,                 Finished P.: 10,   total respond time: 171,  Average response time: 17.1,        Max length readylist: 6
Tick:45,  Total waiting time : 125,   Total # of processes: 19,  ASPAverage Waiting Time: 1.1,                 Finished P.: 10,   total respond time: 171,  Average response time: 17.1,        Max length readylist: 8
